name,xx,yy
桃仁,292.7025318,-583.6187363
泽兰,277.3356438,-815.3596878
丹参,214.8224354,-670.6487179
茜草,191.2685871,-741.4805412
小蓟,297.4273443,-662.2830868
白茅根,263.984251,-968.1796074
仙鹤草,251.4322996,-616.0720825
鱼腥草,216.5284395,-878.3743858
太子参,450.3205299,-994.2559242
黄精,406.6632748,-1012.418842
黄芩,228.1280756,-728.0767918
女贞子,353.2286882,-671.7360973
墨旱莲,389.4002438,-697.5903511
茯苓,362.533927,-1064.823151
陈皮,281.7278862,-881.4469337
薏苡仁,334.2226505,-1011.558628
酸枣仁,334.7590923,-608.6952209
黄芪,343.0436373,-955.0682068
车前子,444.9765205,-735.8710766
甘草,397.3070383,-1043.750668
山药,396.2347746,-969.1259384
白芍,255.180192,-747.8413105
菟丝子,409.8154068,-893.8652039
山茱萸,379.0473461,-757.0333481
熟地黄,430.9466839,-693.8779354
当归,346.9336033,-824.6092796
地黄,409.9891186,-646.3778973
