xx,yy,herb,properties,rgb
-2.968632936,0.178786859,人参,"四气五味：甘,微苦,微温；归经：脾,肺,心,肾","rgb(81, 118, 147)"
-3.140700817,0.942083657,白术,"四气五味：苦,甘,温；归经：脾,胃","rgb(114,119,113)"
-4.655617714,-1.043939829,茯苓,"四气五味：甘,淡,平；归经：心,肺,脾,肾","rgb(183,158,202)"
-4.523247719,-0.609639764,甘草,"四气五味：甘,平；归经：心,肺,脾,胃","rgb(149,138,188)"
-4.429934025,-0.079158716,薏苡仁,"四气五味：甘,淡,凉；归经：脾,胃,肺","rgb(80,126,134)"
-1.504244208,-0.00548108,桔梗,"四气五味：苦,辛,平；归经：肺","rgb(66,68,48)"
-3.824779987,0.357004225,白扁豆,"四气五味：甘,微温；归经：脾,胃","rgb(78,120,123)"
-4.528208733,-1.387471557,山药,"四气五味：甘,平；归经：脾,肺,肾","rgb(199, 156, 200)"
-3.906730175,-0.022498643,大枣,"四气五味：甘,温；归经：脾,胃,心","rgb(101,109,161)"
-3.413937092,0.252200156,黄芪,"四气五味：甘,微温；归经：肺,脾","rgb(83,121,147)"
-4.269578934,-0.515816808,炙甘草,"四气五味：甘,平；归经：心,肺,脾,胃","rgb(164,111,171)"
-3.238331079,-0.787130058,当归,"四气五味：甘,辛,温；归经：肝,心,脾","rgb(128, 0, 32)"
-1.886649609,0.680230796,陈皮,"四气五味：苦,辛,温；归经：肺,脾","rgb(89,89,84)"
-3.309570789,-1.132460117,升麻,"四气五味：辛,微甘,微寒；归经：肺,脾,胃,大肠","rgb(128,0,31)"
-1.373338819,-1.060228109,柴胡,"四气五味：辛,苦,微寒；归经：肝,胆,肺","rgb(36,89,54)"
-2.883019924,-0.620351553,防风,"四气五味：辛,甘,微温；归经：膀胱,肝,脾","rgb(114,0,87)"
-2.77603507,-1.917709827,麦冬,"四气五味：甘,微苦,微寒；归经：心,肺,胃","rgb(65,48,162)"
-2.738422632,-0.071033478,五味子,"四气五味：酸,甘,温；归经：肺,心,肾","rgb(78,95,149)"
-1.581794739,-2.248958111,白芍,"四气五味：苦,酸,微寒；归经：肝,脾","rgb(0, 140, 149)"
-2.987339973,-3.009689093,车前子,"四气五味：甘,寒；归经：肝,肾,肺,小肠","rgb(0,88,109)"
-2.257733583,1.252760172,苍术,"四气五味：辛,苦,温；归经：脾,胃,肝","rgb(91,90,90)"
-2.261112452,-3.802080393,熟地黄,"四气五味：甘,微温；归经：肝,肾","rgb(21,75,109)"
-2.423458576,1.586563945,生姜,"四气五味：辛,微温；归经：肺,脾,胃","rgb(77,76,76)"
-3.002579689,-0.276521504,桂枝,"四气五味：辛,甘,温；归经：心,肺,膀胱","rgb(130,49,125)"
-3.841306448,-3.153040886,阿胶,"四气五味：甘,平；归经：肺,肝,肾","rgb(40,79,65)"
-4.049615383,-0.543394983,火麻仁,"四气五味：甘,平；归经：脾,胃,大肠","rgb(178,87,132)"
-2.297468424,-3.011219263,泽泻,"四气五味：甘,淡,寒；归经：肾,膀胱","rgb(32,107,144)"
-1.513089895,-2.76542902,牡丹皮,"四气五味：苦,辛,微寒；归经：心,肝,肾","rgb(40,136,137)"
-3.865788221,-3.743286133,枸杞子,"四气五味：甘,平；归经：肝,肾","rgb(17,51,34)"
-4.109154224,-2.61918664,菟丝子,"四气五味：辛,甘,平；归经：肝,肾,脾","rgb(78,117,109)"
-2.597402573,-4.429816246,鹿角胶,"四气五味：甘,咸,温；归经：肾,肝","rgb(0,48,73)"
-3.590692997,-3.355566978,牛膝,"四气五味：苦,甘,酸,平；归经：肝,肾","rgb(9,71,63)"
-2.100105047,-2.541544199,黄柏,"四气五味：苦,寒；归经：肾,膀胱","rgb(12,123,161)"
-2.701319695,-2.368893623,知母,"四气五味：苦,甘,寒；归经：肺,胃,肾","rgb(0,94,143)"
-2.664515972,-1.804931641,北沙参,"四气五味：甘,微苦,微寒；归经：肺,胃","rgb(69,39,163)"
-1.91862309,-2.582026482,川楝子,"四气五味：苦,寒,有小毒；归经：肝,小肠,膀胱","rgb(23,131,160)"
-1.977849483,-4.042625904,山茱萸,"四气五味：酸,涩,微温；归经：肝,肾","rgb(0,70,80)"
-3.960914612,-1.899103045,附子,"四气五味：辛,甘,大热,有毒；归经：心,肾,脾","rgb(146,114,181)"
-3.765055656,-2.320254803,肉桂,"四气五味：辛,甘,大热；归经：肾,脾,心,肝","rgb(51,115,136)"
-2.559403658,-3.592699766,杜仲,"四气五味：甘,温；归经：肝,肾","rgb(46,73,120)"
-2.753558159,-4.271862507,肉苁蓉,"四气五味：甘,咸,温；归经：肾,大肠","rgb(0, 49, 83)"
-2.083695889,-3.465502024,巴戟天,"四气五味：甘,辛,微温；归经：肾,肝","rgb(25,96,124)"
-2.545398951,-2.752537489,石斛,"四气五味：甘,微寒；归经：胃,肾","rgb(0,103,141)"
-1.41849494,-0.615175426,薄荷,"四气五味：辛,凉；归经：肺,肝","rgb(50,71,37)"
-4.61407423,-1.565720201,莲子,"四气五味：甘,涩,平；归经：脾,肾,心","rgb(180,169,207)"
-2.168384314,1.319137931,砂仁,"四气五味：辛,温；归经：脾,胃,肾","rgb(84,83,83)"
-1.60704124,-0.711083055,荆芥炭,"四气五味：辛,涩,微温；归经：肺,肝","rgb(13,79,51)"
-2.97184515,-3.365247965,地黄,"四气五味：甘,寒；归经：心,肝,肾","rgb(0,77,102)"
-3.198005676,-4.076366901,龟甲胶,"四气五味：咸,甘,凉；归经：肝,肾,心","rgb(0,52,68)"
-3.057582855,-3.728332996,龟甲,"四气五味：咸,甘,微寒；归经：肝,肾,心","rgb(0,63,89)"
-2.354230642,0.802957475,石菖蒲,"四气五味：辛,苦,温；归经：心,胃","rgb(108,111,106)"
-2.4959867,-3.973608017,何首乌,"四气五味：苦,甘,涩,微温；归经：肝,心,肾","rgb(37,59,105)"
-2.003940582,0.899944186,补骨脂,"四气五味：辛,苦,温；归经：肾,脾","rgb(92,91,91)"
-3.425074339,-0.160854667,龙眼肉,"四气五味：甘,温；归经：心,脾","rgb(145,69,134)"
-3.735731125,-3.632935047,酸枣仁,"四气五味：甘,酸,平；归经：肝,胆,心","rgb(10,57,45)"
-2.563746929,1.226793647,木香,"四气五味：辛,苦,温；归经：脾,胃,大肠,三焦,胆","rgb(102,101,101)"
-2.309523344,0.324441075,远志,"四气五味：苦,辛,温；归经：心,肾,肺","rgb(85,113,104)"
-1.73198545,-1.045446277,川芎,"四气五味：辛,温；归经：肝,胆,心包","rgb(0,90,77)"
