,1:水牛角,2:桑白皮,3:香薷,4:木通,5:葛根,6:白头翁,7:西洋参,8:银柴胡,9:连翘,10:龙胆,11:赤芍,12:金银花,13:青蒿,14:当归,15:麻黄
1:水牛角,0,3.064,3.695,1.621,3.393,0.982,2.596,2.363,1.806,0.748,0.68,3.534,0.979,2.762,3.92
2:桑白皮,3.064,0,4.105,2.033,2.359,2.504,1.178,0.852,1.816,2.881,2.542,0.473,3.055,2.891,4.235
3:香薷,3.695,4.105,0,4.549,1.955,4.289,4.741,3.394,4.55,2.95,3.19,4.312,2.724,1.247,0.229
4:木通,1.621,2.033,4.549,0,3.496,0.674,1.119,1.753,0.241,1.969,1.565,2.479,2.251,3.363,4.749
5:葛根,3.393,2.359,1.955,3.496,0,3.528,3.27,1.875,3.401,2.744,2.718,2.46,2.688,1.092,2.021
6:白头翁,0.982,2.504,4.289,0.674,3.528,0,1.757,2.016,0.894,1.474,1.123,2.971,1.759,3.184,4.502
7:西洋参,2.596,1.178,4.741,1.119,3.27,1.757,0,1.404,0.879,2.715,2.305,1.531,2.965,3.494,4.909
8:银柴胡,2.363,0.852,3.394,1.753,1.875,2.016,1.404,0,1.604,2.075,1.772,1.263,2.227,2.152,3.548
9:连翘,1.806,1.816,4.55,0.241,3.401,0.894,0.879,1.604,0,2.086,1.674,2.254,2.363,3.342,4.743
10:龙胆,0.748,2.881,2.95,1.969,2.744,1.474,2.715,2.075,2.086,0,0.415,3.328,0.286,2.029,3.175
11:赤芍,0.68,2.542,3.19,1.565,2.718,1.123,2.305,1.772,1.674,0.415,0,3,0.689,2.156,3.409
12:金银花,3.534,0.473,4.312,2.479,2.46,2.971,1.531,1.263,2.254,3.328,3,0,3.489,3.14,4.423
13:青蒿,0.979,3.055,2.724,2.251,2.688,1.759,2.965,2.227,2.363,0.286,0.689,3.489,0,1.882,2.95
14:当归,2.762,2.891,1.247,3.363,1.092,3.184,3.494,2.152,3.342,2.029,2.156,3.14,1.882,0,1.417
15:麻黄,3.92,4.235,0.229,4.749,2.021,4.502,4.909,3.548,4.743,3.175,3.409,4.423,2.95,1.417,0
